"mex.t"	"mex.male"	"mex.age"	"mex.education"	"mex.y.all"	"mex.vote"	"mex.age2"	"mex.interest"	"mex.married"	"mex.pidpanw2"	"mex.pidprdw2"	"mex.pidpriw2"	"mex.votecard"	"mex.urban"	"mex.cleanelections"	"mex.metro"	"mex.centralregion"	"mex.northregion"	"mex.wealth"	"mex.epnapprove"	"mex.havepropoganda"	"mex.concurrent"	"mex.cleanelectionsmiss"	"mex.loyal"	"mex.direct"
"39"	1	0	4	3	1	1	16	3	1	0	0	1	0	1	1	0	0	1	0.481876999139786	10	0	0	0	0	0
"40"	0	0	3.3	8	0	1	10.89	3	1	0	0	1	1	1	1	0	0	1	-1.37199747562408	11	1	0	0	1	0
"41"	0	1	3.4	5	3	1	11.56	4	0	1	0	0	1	1	4	0	0	1	-0.341331571340561	10	0	0	0	1	0
"42"	0	0	7.7	2	1	1	59.29	2	1	0	0	1	1	1	1	0	0	1	0.481876999139786	11	0	0	0	1	0
"43"	1	0	3	5	1	1	9	4	1	0	0	1	1	1	1	0	0	1	1.58351361751556	11	0	0	0	1	0
"44"	1	0	5.4	3	1	1	29.16	2	1	0	0	1	1	1	1	0	0	1	-0.280647456645966	11	0	0	0	0	0
"45"	0	1	2.4	8	1	1	5.76	2	0	0	0	0	1	1	2	0	0	1	2.67367696762085	8	0	0	0	0	0
"46"	1	0	5.7	2	1	1	32.49	3	1	1	0	0	1	1	4	0	0	1	1.57204031944275	5	0	0	0	1	0
"47"	0	0	3.3	3	1	1	10.89	4	1	1	0	0	1	1	4	0	0	1	-0.416981279850006	1	1	0	0	0	1
"48"	1	1	6.9	2	2	1	47.61	3	1	1	0	0	1	1	1	0	0	1	0.481876999139786	11	0	0	0	0	0
"50"	0	1	2	8	2	1	4	2	0	0	1	0	1	1	4	0	0	1	1.57204031944275	5	0	0	0	0	0
"51"	1	0	3.9	4	1	1	15.21	3	1	0	0	1	0	1	2	0	0	1	-0.416981279850006	8	1	0	0	0	0
"52"	0	1	5.8	3	1	1	33.64	2	1	0	1	0	1	1	4	0	0	1	0.481876999139786	1	0	0	0	0	0
"53"	1	0	2.3	4	1	0	5.29	2	0	1	0	0	0	1	2	0	0	1	1.57204031944275	1	0	0	0	1	0
"54"	0	0	4.3	5	2	1	18.49	3	1	0	0	1	1	1	4	0	0	1	-0.416981279850006	10	0	0	0	0	0
"55"	1	0	2.4	9	1	1	5.76	2	1	0	1	0	1	1	4	0	0	1	1.57204031944275	5	0	0	0	0	0
"56"	1	0	6.1	2	1	1	37.21	2	0	0	1	0	1	1	3	0	0	1	1.58351361751556	6	0	0	0	0	0
"57"	0	0	4.9	7	2	1	24.01	3	1	0	0	1	1	1	2	0	0	1	1.57204031944275	10	0	0	0	1	0
"58"	1	1	4.8	5	2	1	23.04	2	1	0	1	0	0	1	4	0	0	1	-0.416981279850006	2	0	0	0	0	0
"59"	0	1	3.6	5	2	1	12.96	3	1	0	0	0	1	1	2	0	0	1	0.481876999139786	8	0	0	0	0	0
"61"	0	1	4.7	7	1	1	22.09	1	1	1	0	0	0	1	1	0	0	1	2.67367696762085	7	0	0	0	1	0
"62"	1	1	2.3	8	1	1	5.29	2	0	0	0	0	1	1	4	0	0	1	-0.416981279850006	6	0	0	0	0	0
"63"	0	0	5.1	5	2	1	26.01	3	0	0	0	1	1	1	1	0	0	1	1.57204031944275	11	0	0	0	1	0
"64"	0	0	4.4	5	2	1	19.36	4	0	0	0	1	1	1	1	0	0	1	1.57204031944275	11	0	0	0	0	0
"65"	0	1	2.2	8	2	1	4.84	3	0	0	0	0	0	1	4	0	0	1	2.67367696762085	5	0	0	0	0	0
"66"	1	1	2.4	8	1	1	5.76	3	0	0	0	0	1	1	4	0	0	1	2.67367696762085	1	0	0	0	0	0
"68"	1	0	3.1	9	2	1	9.61	3	0	1	0	0	1	1	3	0	0	1	2.67367696762085	8	0	0	0	0	0
"69"	0	0	2.1	9	2	0	4.41	3	0	1	0	0	0	1	3	0	0	1	1.57204031944275	1	0	0	0	0	0
"70"	1	0	2.5	8	2	1	6.25	3	1	0	0	1	0	1	1	0	0	1	1.57204031944275	9	0	0	0	1	0
"71"	0	0	2.5	9	2	1	6.25	4	0	1	0	0	0	1	1	0	0	1	2.67367696762085	9	0	0	0	0	0
"72"	1	0	5.7	3	1	1	32.49	2	0	0	0	1	0	1	2	0	0	1	1.58351361751556	9	0	0	0	0	0
"73"	0	0	2.4	3	0	0	5.76	3	0	0	0	1	0	1	2	0	0	1	-0.416981279850006	1	0	0	0	0	0
"74"	1	0	5.2	3	1	0	27.04	2	1	0	0	1	0	0	3	0	0	1	0.481876999139786	11	0	0	0	0	0
"77"	1	0	2.2	7	1	0	4.84	2	0	0	0	0	0	1	2	0	0	1	-0.416981279850006	8	0	0	0	0	0
"78"	0	1	4.5	7	1	1	20.25	3	1	0	1	0	1	1	3	0	0	1	2.67367696762085	7	0	0	0	0	1
"79"	1	1	2.7	5	2	1	7.29	2	1	1	0	0	0	1	2	0	0	1	2.67367696762085	7	0	0	0	0	0
"80"	0	0	3.3	3	1	1	10.89	1	1	0	0	1	0	1	2	0	0	1	0.481876999139786	10	0	0	0	0	0
"81"	1	0	9	8	1	1	81	2	0	1	0	0	1	1	3	0	0	1	0.481876999139786	7	0	0	0	0	0
"82"	0	1	5	3	1	1	25	3	1	0	0	1	1	1	2	0	0	1	-0.416981279850006	11	0	0	0	1	0
"83"	0	1	5.5	4	2	1	30.25	4	1	0	1	0	1	1	4	0	0	1	0.481876999139786	6	0	0	0	1	0
"84"	1	1	4.7	9	2	0	22.09	2	0	0	1	0	0	1	3	0	0	1	0.67318207025528	7	0	0	0	0	0
"85"	0	1	1.9	7	1	0	3.61	1	1	1	0	0	0	1	2	0	0	1	-0.416981279850006	8	0	0	0	0	0
"86"	1	0	2.5	8	3	0	6.25	2	0	0	0	0	0	0	2	0	0	1	-1.24018979072571	9	0	0	0	0	0
"87"	1	0	3	5	0	1	9	2	0	1	0	0	0	0	2	0	0	1	-0.416981279850006	9	0	0	0	0	0
"88"	0	0	5.1	6	3	0	26.01	1	0	0	1	0	0	0	4	0	0	1	-1.24018979072571	4	0	0	0	0	0
"89"	0	1	1.8	7	1	0	3.24	2	0	1	0	0	0	0	2	0	0	1	-0.416981279850006	8	1	0	0	0	0
"90"	0	0	4.7	3	1	0	22.09	2	0	0	0	1	0	0	3	0	0	1	-1.24018979072571	9	0	0	0	0	0
"91"	1	1	5.9	3	1	1	34.81	2	1	0	0	1	0	0	2	0	0	1	-0.473139226436615	10	1	0	0	0	0
"92"	1	0	2.6	7	2	1	6.76	2	0	1	0	0	1	0	3	0	0	1	-0.416981279850006	3	0	0	0	1	0
"93"	0	0	2	9	3	1	4	3	0	0	0	1	1	0	2	0	0	1	0.67318207025528	10	0	0	0	0	0
"94"	1	1	2.2	5	4	0	4.84	2	0	0	0	1	0	0	2	0	0	1	-0.416981279850006	9	1	0	0	0	0
"95"	1	1	2.4	5	4	1	5.76	3	0	0	1	0	1	0	3	0	0	1	0.481876999139786	9	0	0	0	0	0
"96"	0	1	2.4	6	3	1	5.76	2	1	0	0	1	1	0	2	0	0	1	-0.416981279850006	9	0	0	0	0	0
"97"	1	1	5.1	9	1	0	26.01	2	1	0	0	0	0	1	3	0	0	1	1.57204031944275	1	0	0	0	0	0
"98"	0	0	5.1	9	1	1	26.01	3	1	1	0	0	1	1	3	0	0	1	2.67367696762085	5	0	0	0	0	0
"101"	1	0	4.1	9	1	1	16.81	4	0	0	1	0	1	1	2	0	0	1	2.67367696762085	6	0	0	0	1	0
"102"	1	1	2.9	9	1	1	8.41	2	1	0	0	0	1	1	2	0	0	1	1.57204031944275	9	1	0	0	0	0
"103"	0	0	3.6	7	1	1	12.96	4	1	0	0	1	1	1	2	0	0	1	1.57204031944275	11	1	0	0	0	0
"104"	0	0	7.1	5	1	1	50.41	2	0	0	0	0	1	1	2	0	0	1	-0.473139226436615	7	0	0	0	0	0
"105"	0	0	4.1	9	1	1	16.81	2	0	1	0	0	1	1	3	0	0	1	0.481876999139786	4	0	0	0	0	0
"106"	1	1	2.1	8	1	1	4.41	2	0	0	0	0	1	1	3	0	0	1	-0.416981279850006	7	0	0	0	0	0
"107"	0	0	3.5	7	1	1	12.25	2	0	0	0	0	1	1	4	0	0	1	1.57204031944275	3	1	0	0	0	0
"109"	0	1	3	5	1	0	9	3	0	0	1	0	0	1	3	0	0	1	-1.37199747562408	6	0	0	0	0	0
"111"	0	1	4.2	5	1	1	17.64	2	1	0	0	1	1	1	1	0	0	1	0.481876999139786	11	1	0	0	1	0
"112"	1	1	6.4	5	3	1	40.96	2	1	0	0	1	0	1	1	0	0	1	-1.24018979072571	9	1	0	0	1	0
"113"	0	0	5.4	7	2	1	29.16	1	0	1	0	0	0	1	4	0	0	1	0.748831808567047	5	0	0	0	0	0
"114"	1	0	5.8	3	2	1	33.64	2	1	0	0	0	0	1	3	0	0	1	-1.24018979072571	6	0	0	0	0	0
"116"	0	0	5	7	2	1	25	3	1	1	0	0	0	1	4	0	0	1	0.748831808567047	3	0	0	0	0	0
"117"	0	0	3.7	7	3	1	13.69	2	1	1	0	0	1	1	4	0	0	1	0.481876999139786	9	0	0	0	1	0
"118"	1	0	2.1	9	3	0	4.41	2	1	0	1	0	0	1	4	0	0	1	-1.24018979072571	6	0	0	0	0	0
"119"	0	1	3.3	9	3	1	10.89	3	1	1	0	0	0	1	4	0	0	1	2.96096181869507	4	0	0	0	0	0
"120"	1	0	4	5	3	1	16	3	1	0	0	0	1	1	3	0	0	1	4.06259870529175	6	0	0	0	0	0
"121"	0	1	3.9	7	3	0	15.21	1	1	0	1	0	0	1	4	0	0	1	1.57204031944275	6	0	0	0	0	0
"122"	1	1	4.5	7	3	0	20.25	1	1	0	1	0	0	1	4	0	0	1	0.748831808567047	1	0	0	0	0	0
"123"	0	1	4.3	8	2	1	18.49	3	1	1	0	0	1	1	2	0	0	1	1.57204031944275	6	1	0	0	1	0
"125"	0	1	5	7	1	1	25	3	1	1	0	0	1	1	2	0	0	1	1.57204031944275	8	0	0	0	0	0
"127"	0	1	4.3	7	2	1	18.49	2	1	1	0	0	0	1	4	0	0	1	1.57204031944275	4	0	0	0	1	0
"128"	0	1	5.6	4	3	1	31.36	2	1	0	1	0	1	1	4	0	0	1	0.748831808567047	11	0	0	0	0	0
"129"	1	0	2.2	9	3	0	4.84	3	1	0	0	0	0	1	3	0	0	1	2.67367696762085	7	0	0	0	0	0
"130"	0	0	4.2	5	2	0	17.64	1	0	0	0	1	0	1	2	0	0	1	-0.341331571340561	11	0	0	0	1	0
"131"	0	1	2.1	8	1	1	4.41	3	0	1	0	0	0	1	4	0	0	1	1.57204031944275	4	1	0	0	0	0
"132"	1	0	4	3	4	1	16	1	1	0	0	1	1	1	1	0	0	1	1.57204031944275	10	0	0	0	1	0
"134"	1	0	8	2	4	1	64	3	0	0	0	1	1	1	1	0	0	1	-0.341331571340561	11	1	0	0	1	0
"136"	1	1	4.8	5	4	1	23.04	2	1	1	0	0	0	1	4	0	0	1	-0.341331571340561	9	0	0	0	1	0
"137"	0	1	4.2	9	3	0	17.64	3	1	1	0	0	0	1	2	0	0	1	1.57204031944275	8	0	0	0	0	0
"138"	1	1	4.9	7	4	1	24.01	3	1	0	0	0	1	1	4	0	0	1	4.06259870529175	6	0	0	0	0	0
"139"	0	0	4.4	7	2	1	19.36	2	1	0	0	1	1	1	2	0	0	1	-0.416981279850006	10	0	0	0	1	0
"140"	1	1	2.8	7	3	1	7.84	2	0	0	0	1	1	1	1	0	0	1	1.57204031944275	11	1	0	0	0	0
"141"	1	0	5	8	4	0	25	3	1	1	0	0	0	1	4	0	0	1	2.67367696762085	9	0	0	0	0	0
"143"	1	0	3.3	5	3	1	10.89	3	1	0	0	1	0	1	1	0	0	1	-1.24018979072571	10	1	0	0	1	0
"144"	1	1	2.6	5	1	0	6.76	2	1	0	0	1	0	1	1	0	0	1	0.0169240795075893	11	1	0	0	1	0
"145"	0	0	2.9	4	3	1	8.41	3	1	1	0	0	1	1	3	0	0	1	-0.341331571340561	8	0	0	0	1	0
"146"	1	1	4.8	3	2	1	23.04	3	1	0	0	1	1	1	0	0	0	1	-0.341331571340561	10	1	0	1	0	0
"147"	1	0	2.7	5	3	0	7.29	3	1	0	0	1	0	1	1	0	0	1	-0.416981279850006	10	0	0	0	0	0
"148"	0	1	2.3	7	3	1	5.29	3	0	0	0	1	1	1	1	0	0	1	-0.341331571340561	10	0	0	0	1	0
"149"	1	0	4.9	2	2	0	24.01	3	0	0	0	0	0	1	4	0	0	1	0.481876999139786	7	0	0	0	0	0
"150"	0	1	3	5	2	1	9	3	1	0	0	1	0	1	2	0	0	1	-0.416981279850006	9	0	0	0	0	0
"151"	0	1	4.6	7	1	1	21.16	3	1	1	0	0	1	1	4	0	0	1	-1.24018979072571	5	1	0	0	1	0
"152"	1	0	3.3	7	3	1	10.89	1	1	1	0	0	0	1	2	0	0	1	-0.416981279850006	9	0	0	0	0	0
"153"	0	1	3.9	7	2	1	15.21	1	1	0	0	0	1	1	4	0	0	1	-2.19520616531372	8	0	0	0	0	0
"154"	1	1	4.4	5	2	1	19.36	3	1	1	0	0	1	1	2	0	0	1	-0.341331571340561	8	1	0	0	1	0
"155"	0	1	6.3	3	2	1	39.69	3	1	0	0	1	0	1	1	0	0	1	0.748831808567047	10	1	0	0	1	0
"156"	1	0	7	2	3	1	49	2	0	0	0	1	1	1	4	0	0	1	1.57204031944275	10	0	0	0	1	0
"157"	0	1	2	7	2	1	4	4	0	0	1	0	1	1	4	0	0	1	1.57204031944275	5	0	0	0	1	0
"158"	1	1	4.1	5	4	1	16.81	2	1	0	0	1	0	1	1	0	0	1	-0.150026470422745	9	0	0	0	0	0
"159"	0	0	6.1	5	3	1	37.21	2	1	1	0	0	1	1	4	0	0	1	1.57204031944275	8	0	0	0	1	0
"160"	1	0	5.1	5	2	1	26.01	2	1	0	0	0	1	1	2	0	1	0	2.67367696762085	10	0	0	0	0	0
"161"	0	1	7.3	1	2	1	53.29	3	1	1	0	0	0	1	1	0	1	0	2.67367696762085	11	0	0	0	0	0
"162"	1	0	3.8	5	2	1	14.44	3	0	0	0	0	1	1	0	0	1	0	-0.416981279850006	6	0	0	1	0	0
"163"	0	1	4	7	3	1	16	3	1	0	0	1	1	1	2	0	1	0	-1.37199747562408	11	1	0	0	1	0
"164"	1	0	5.7	3	1	1	32.49	2	0	0	0	1	0	1	3	0	1	0	0.481876999139786	11	0	0	0	1	0
"165"	1	1	3.7	5	2	0	13.69	3	1	1	0	0	0	1	4	0	1	0	0.481876999139786	6	0	0	0	1	0
"166"	0	1	3.9	4	3	0	15.21	3	1	1	0	0	0	1	2	0	1	0	-0.341331571340561	6	0	0	0	1	0
"167"	1	0	3	5	2	1	9	2	1	1	0	0	1	1	3	0	1	0	-0.416981279850006	8	0	0	0	0	0
"168"	0	1	4.7	3	2	1	22.09	2	0	0	0	0	1	1	4	0	1	0	-1.24018979072571	9	0	0	0	0	0
"169"	1	0	2.6	5	1	1	6.76	2	1	1	0	0	0	1	2	0	1	0	-0.416981279850006	10	0	0	0	1	0
"170"	0	0	3.4	5	2	1	11.56	2	1	0	0	1	1	1	2	0	1	0	-0.416981279850006	11	0	0	0	0	0
"171"	1	1	4.2	6	3	1	17.64	3	0	0	0	1	0	1	1	0	1	0	1.57204031944275	10	0	0	0	1	0
"172"	0	0	3.7	5	3	1	13.69	2	1	0	0	1	1	1	2	0	1	0	-1.24018979072571	10	0	0	0	0	0
"173"	1	0	2.3	9	2	0	5.29	3	0	0	0	1	0	1	3	0	1	0	1.57204031944275	10	0	0	0	0	0
"175"	0	1	7.1	2	1	1	50.41	2	1	0	0	1	1	1	3	0	0	1	0.971940279006958	11	0	0	0	1	0
"177"	1	1	6.5	5	2	1	42.25	4	1	1	0	0	1	1	2	0	0	1	0.481876999139786	10	0	0	0	1	0
"179"	0	0	7.1	2	1	1	50.41	2	1	1	0	0	0	1	4	0	0	1	0.481876999139786	9	0	0	0	1	0
"180"	0	0	3	6	1	1	9	2	0	0	0	1	1	1	3	0	0	1	-1.37199747562408	11	0	0	0	1	0
"181"	1	0	3.9	5	2	1	15.21	3	1	1	0	0	1	1	0	0	0	1	-0.416981279850006	8	0	0	1	0	0
"183"	0	1	7	1	0	1	49	2	1	0	0	1	1	1	1	0	0	1	1.87079858779907	11	0	0	0	1	0
"184"	0	1	5.5	2	1	0	30.25	1	1	0	0	0	0	1	0	0	0	1	-2.19520616531372	7	0	0	1	0	0
"185"	1	0	3.6	3	0	0	12.96	1	1	0	0	1	0	1	0	0	0	1	1.57204031944275	10	0	0	1	1	0
"187"	0	1	2.1	6	2	1	4.41	2	0	1	0	0	1	1	4	0	0	1	0.481876999139786	5	0	0	0	1	0
"189"	1	1	7	2	2	1	49	3	1	0	0	1	1	1	1	0	0	1	1.57204031944275	11	0	0	0	1	0
"190"	0	1	2.5	5	2	1	6.25	2	0	0	1	0	0	1	4	0	0	1	-0.341331571340561	4	0	0	0	0	0
"191"	1	0	2.2	6	1	1	4.84	1	0	1	0	0	1	1	4	0	0	1	0.481876999139786	5	0	0	0	1	0
"193"	1	1	2.1	7	2	0	4.41	2	0	0	0	1	0	1	2	0	0	1	-1.24018979072571	11	0	0	0	0	0
"194"	1	1	5.3	9	2	1	28.09	3	1	0	0	0	1	1	1	0	0	1	2.67367696762085	9	0	0	0	0	0
"195"	0	1	2.2	8	2	1	4.84	3	0	0	1	0	1	1	3	0	0	1	0.971940279006958	7	0	0	0	0	0
"197"	0	1	4	7	1	1	16	1	1	0	0	0	0	1	4	0	0	1	0.67318207025528	6	0	0	0	0	0
"198"	0	0	4.2	4	1	1	17.64	3	0	1	0	0	0	1	4	0	0	1	-0.416981279850006	7	0	0	0	1	1
"199"	1	0	2.7	4	2	1	7.29	2	1	1	0	0	0	1	4	0	0	1	-0.416981279850006	9	0	0	0	0	0
"200"	0	0	6.7	2	2	1	44.89	3	1	1	0	0	0	1	4	0	0	1	-0.416981279850006	8	0	0	0	0	0
"201"	1	0	3.2	7	1	1	10.24	4	1	1	0	0	0	1	2	0	0	1	0.67318207025528	9	0	0	0	0	0
"202"	1	0	3.3	4	1	1	10.89	3	1	0	0	0	0	1	4	0	0	1	-0.416981279850006	1	0	0	0	0	1
"203"	1	1	8.6	4	3	1	73.96	2	1	0	0	1	0	1	2	0	0	1	-1.37199747562408	8	0	0	0	1	1
"204"	0	1	6.9	4	2	1	47.61	3	0	0	0	0	0	1	4	0	0	1	-1.37199747562408	6	0	0	0	0	1
"205"	0	1	4.1	9	1	1	16.81	2	1	0	0	0	0	1	3	0	0	1	1.57204031944275	9	0	0	0	0	1
"206"	1	1	5.3	9	1	1	28.09	2	1	0	0	0	1	0	1	0	0	1	4.06259870529175	10	0	0	0	0	0
"207"	0	0	4.8	7	1	1	23.04	3	0	0	0	1	1	0	1	0	0	1	1.57204031944275	11	0	0	0	0	0
"208"	1	0	5	8	1	1	25	2	1	1	0	0	0	0	4	0	0	1	4.06259870529175	3	0	0	0	0	1
"210"	0	1	4.1	3	3	1	16.81	4	0	0	0	0	0	0	0	0	0	1	-3.09287762641907	6	0	0	1	0	0
"211"	1	0	7.2	2	2	1	51.84	4	0	1	0	0	0	0	1	0	0	1	-1.29634773731232	11	0	0	0	0	0
"212"	0	1	4.4	5	1	0	19.36	1	1	0	0	1	0	0	1	0	0	1	-0.206184417009354	6	0	0	0	0	0
"213"	0	1	6	6	2	NA	36	2	1	0	1	0	0	0	1	0	0	1	-0.473139226436615	11	0	0	0	1	0
"214"	0	0	3.2	5	1	1	10.24	3	1	0	0	1	1	0	1	0	0	1	-0.150026470422745	10	0	0	0	0	0
"215"	1	0	5.1	6	2	1	26.01	3	0	0	0	0	1	0	3	0	0	1	1.57204031944275	9	0	0	0	0	0
"216"	1	0	4.8	5	1	1	23.04	2	1	0	0	1	1	1	2	0	0	1	-0.416981279850006	10	0	0	0	0	0
"217"	0	0	5	5	1	1	25	2	0	1	0	0	1	1	2	0	0	1	-0.416981279850006	7	0	0	0	0	0
"218"	1	1	4.2	9	3	1	17.64	3	1	0	1	0	1	1	3	0	0	1	1.77481877803802	7	0	0	0	0	1
"219"	0	1	2.3	8	2	0	5.29	2	0	1	0	0	0	1	3	0	0	1	2.67367696762085	6	0	0	0	1	0
"220"	1	0	4.3	5	1	1	18.49	1	1	1	0	0	1	1	2	0	0	1	2.67367696762085	9	0	0	0	0	0
"221"	0	0	4.5	3	1	1	20.25	2	1	1	0	0	0	1	0	0	0	1	1.58351361751556	9	0	0	1	0	0
"222"	1	0	5	5	1	1	25	1	0	1	0	0	1	1	3	0	0	1	0.481876999139786	10	0	0	0	0	0
"223"	0	1	4.5	5	1	1	20.25	3	0	0	1	0	1	1	4	0	0	1	1.57204031944275	1	0	0	0	0	0
"224"	1	1	4.4	5	2	1	19.36	2	1	1	0	0	0	1	2	0	0	1	-0.416981279850006	8	0	0	0	0	0
"225"	0	0	5.7	2	1	1	32.49	1	0	1	0	0	0	1	3	0	0	1	2.67367696762085	10	0	0	0	0	0
"226"	1	1	4.1	5	2	1	16.81	2	1	0	0	1	0	1	2	0	0	1	-0.416981279850006	9	0	0	0	0	0
"227"	0	0	2.1	7	1	1	4.41	3	1	1	0	0	1	1	2	0	0	1	-1.37199747562408	6	0	0	0	0	0
"228"	1	0	2.2	5	3	1	4.84	2	0	1	0	0	0	1	2	0	0	1	-0.416981279850006	9	0	0	0	1	0
"229"	0	0	2.3	5	2	1	5.29	3	0	0	0	1	0	1	3	0	0	1	-0.416981279850006	10	0	0	0	0	0
"230"	1	0	2.4	5	3	1	5.76	4	1	0	0	1	1	1	1	0	0	1	0.67318207025528	11	0	0	0	1	0
"231"	0	1	2.5	4	1	0	6.25	1	0	1	0	0	0	1	4	0	0	1	0.748831808567047	5	0	0	0	0	0
"232"	1	1	2.5	7	2	1	6.25	3	0	1	0	0	1	1	2	0	0	1	-0.416981279850006	7	0	0	0	0	0
"233"	0	0	6.8	5	3	1	46.24	3	1	0	0	1	0	0	1	0	0	1	1.57204031944275	10	0	0	0	1	0
"234"	1	0	6.5	2	0	1	42.25	2	1	0	0	0	1	1	4	0	0	1	1.57204031944275	6	0	0	0	0	0
"235"	0	0	3.5	5	2	1	12.25	2	0	0	0	1	0	1	1	0	0	1	2.67367696762085	11	0	0	0	1	0
"236"	0	1	3.9	9	3	1	15.21	4	1	0	0	1	1	1	1	0	0	1	0.951610207557678	11	0	0	0	1	0
"237"	0	1	5.2	9	2	1	27.04	2	1	1	0	0	1	1	4	0	0	1	2.67367696762085	5	0	0	0	0	0
"238"	1	1	3.4	7	2	1	11.56	3	1	0	1	0	1	1	4	0	0	1	-1.29634773731232	7	0	0	0	1	0
"239"	1	1	7.2	3	2	1	51.84	4	0	0	1	0	0	1	4	0	0	1	-0.416981279850006	3	0	0	0	1	0
"240"	1	0	3	5	2	1	9	2	1	0	0	1	1	1	1	0	0	1	-0.473139226436615	10	0	0	0	0	0
"241"	1	1	3.1	5	2	1	9.61	2	1	1	0	0	1	1	1	0	0	1	-0.416981279850006	4	0	0	0	0	0
"242"	0	0	3.3	5	2	1	10.89	2	1	1	0	0	1	1	2	0	0	1	-0.416981279850006	9	0	0	0	0	0
"243"	1	0	2.5	7	2	1	6.25	3	1	0	0	1	1	1	0	0	1	0	-1.24018979072571	9	0	0	1	0	0
"244"	0	0	4	5	1	1	16	2	1	0	0	1	1	1	2	0	1	0	-0.416981279850006	11	0	0	0	0	0
"245"	1	0	3.9	6	1	1	15.21	2	1	0	0	1	1	1	2	0	1	0	-0.150026470422745	8	0	0	0	0	0
"247"	0	0	2.7	9	1	0	7.29	2	1	0	0	0	0	1	0	0	1	0	-0.416981279850006	3	0	0	1	0	0
"248"	1	0	3.3	8	1	1	10.89	2	0	0	0	0	1	1	3	0	1	0	1.57204031944275	2	0	0	0	0	0
"249"	1	0	5.7	3	1	1	32.49	3	1	1	0	0	1	1	4	0	1	0	-0.341331571340561	6	0	0	0	0	0
